avg,mapped_wreq,1-48,49-96,97-144,145-192,193-240,241-288,289-336,337-384,385-432,433-480,481-528,529-576,577-624,625-672,673-720,721-768,769-816,817-864,865-912,913-960,961-1008,1009-1056,1057-1104,1105-1152,1153-1200,1201-1248,1249-1296,1297-1344,1345-1392,1393-1440
151,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1
269,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,"{""mean"": 2, ""bench"": ""disk-rand-0ebf93f8938852"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1
541,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
270,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
545,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0
