avg,mapped_wreq,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
75,"{""mean"": 67.003012, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
7230,"{""mean"": 2721.288156, ""bench"": ""float-c571b37ac335ef8f25"", ""payload"": ""{\""n\"": 10000}""}",3,3,3,2,3,3,2,2,3,3,2,2,3,3,3,2,3,2,2,2,2,3,2,2,2,2,3,3,3,2
49,"{""mean"": 67.003012, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",1,3,1,1,1,2,1,1,1,1,2,3,3,2,1,2,2,2,2,1,2,3,3,1,2,2,1,1,1,1
57,"{""mean"": 67.003012, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",4,5,5,5,4,4,5,5,4,4,5,5,5,4,4,4,5,5,4,4,4,6,6,4,4,4,6,5,4,4
210,"{""mean"": 107.161463, ""bench"": ""aes-4ed58c4e08a18a048b11"", ""payload"": ""{\""message_length\"": 256, \""num_iterations\"": 10}""}",0,0,0,0,0,9,14,14,14,14,6,0,0,0,0,0,0,0,0,0,8,14,14,15,14,7,0,0,0,0
749,"{""mean"": 319.042249, ""bench"": ""chameleon-e52ff3854d5b6f"", ""payload"": ""{\""num_of_cols\"": 10, \""num_of_rows\"": 100}""}",1,9,9,4,1,1,3,9,9,9,9,9,9,9,9,5,6,1,1,1,1,1,1,1,2,8,9,3,1,1
1157,"{""mean"": 319.042249, ""bench"": ""chameleon-e52ff3854d5b6f"", ""payload"": ""{\""num_of_cols\"": 10, \""num_of_rows\"": 100}""}",6,6,6,6,5,6,5,6,6,5,6,5,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,5,5
11,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",4,3,3,3,3,4,3,3,3,3,4,3,3,3,3,5,3,3,3,3,4,3,3,3,3,4,3,3,3,3
212,"{""mean"": 107.161463, ""bench"": ""aes-4ed58c4e08a18a048b11"", ""payload"": ""{\""message_length\"": 256, \""num_iterations\"": 10}""}",5,3,4,4,4,6,7,5,4,4,3,6,4,5,5,5,5,5,4,4,6,4,3,5,4,6,6,5,5,4
64,"{""mean"": 67.003012, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,4,4,4,4
